Species,Ecosystem,Speciation_mode,Island,lnsvl,lnfml,lnhdl,lntol,lntal,lnLAM
acutus,island,Dispersal,,1.90,0.67,0.70,0.24,2.50,3.14
aeneus,island,in situ,,2.04,0.66,0.69,0.14,2.25,3.18
agassizi,island,Dispersal,,2.54,1.36,1.17,1.07,3.07,3.53
ahli,island,in situ,Cuba,1.78,0.56,0.45,0.27,2.26,2.77
aliniger,island,in situ,Hispaniola,1.79,0.33,0.57,0.02,2.16,3.14
allisoni,island,Dispersal,Cuba,2.21,0.75,1.10,0.24,2.94,3.37
allogus,island,in situ,Cuba,1.84,0.59,0.55,0.28,2.15,2.77
altae,mainland,,,1.48,0.12,0.12,-0.23,2.27,2.71
altitudinalis,island,in situ,Cuba,1.65,0.14,0.50,-0.41,1.97,3.18
alumina,island,in situ,Hispaniola,1.39,0.08,0.10,-0.17,2.42,2.77
alutaceus,island,in situ,Cuba,1.34,-0.02,0.09,-0.43,2.13,2.83
angusticeps,island,in situ,Cuba,1.65,0.04,0.45,-0.39,1.56,2.94
annectens,mainland,,,2.06,0.82,0.67,0.59,2.87,2.64
argenteolus,island,in situ,Cuba,1.73,0.52,0.42,0.02,2.37,3.14
argillaceus,island,in situ,Cuba,1.57,0.07,0.29,-0.20,2.18,2.89
armouri,island,in situ,Hispaniola,1.90,0.67,0.73,0.24,2.44,2.83
auratus,mainland,,,1.69,0.27,0.28,-0.08,2.66,2.71
bahorucoensis,island,in situ,Cuba,1.63,0.37,0.48,0.07,2.63,2.94
baleatus,island,in situ,,2.89,1.55,1.64,1.18,3.57,3.47
baracoae,island,in situ,Cuba,2.85,1.46,1.64,1.02,3.41,3.85
barahonae,island,in situ,,2.78,1.44,1.52,1.07,3.38,3.56
barbatus,island,in situ,Cuba,2.84,1.30,1.68,0.87,2.79,3.53
barbouri,island,in situ,Hispaniola,1.55,0.40,0.24,-0.16,2.40,2.30
bartschi,island,in situ,Cuba,2.06,0.93,0.78,0.40,2.71,3.26
